Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
AP1S2	8905	COVID-19	MESH:D000086382		Choline	2,61	1
ARHGAP22	58504	COVID-19	MESH:D000086382		Choline	2,61	1
ARHGAP26	23092	COVID-19	MESH:D000086382		Choline	2,61	1
ATP2A1	487	COVID-19	MESH:D000086382		Zinc	2,61	2
ATXN2	6311	COVID-19	MESH:D000086382		Ivermectin	2,61	2
BUD31	8896	COVID-19	MESH:D000086382		Ivermectin	2,61	2
C1GALT1	56913	COVID-19	MESH:D000086382		Ivermectin	2,61	2
CCDC6	8030	COVID-19	MESH:D000086382		Ivermectin	2,61	2
CEBPZ	10153	COVID-19	MESH:D000086382		Ivermectin	2,61	2
CFI	3426	COVID-19	MESH:D000086382		Zinc	2,61	2
DAPK3	1613	COVID-19	MESH:D000086382		Choline	2,61	1
DDR2	4921	COVID-19	MESH:D000086382		Zinc	2,61	2
DHX30	22907	COVID-19	MESH:D000086382		Ivermectin	2,61	2
DMXL2	23312	COVID-19	MESH:D000086382		Ivermectin	2,61	2
DOCK7	85440	COVID-19	MESH:D000086382		Ivermectin	2,61	2
EBI3	10148	COVID-19	MESH:D000086382		Choline	2,61	1
EML2	24139	COVID-19	MESH:D000086382		Ivermectin	2,61	2
EXOSC8	11340	COVID-19	MESH:D000086382		Choline	2,61	1
FOXC2	2303	COVID-19	MESH:D000086382		Choline	2,61	1
GEMIN4	50628	COVID-19	MESH:D000086382		Ivermectin	2,61	2
GPR155	151556	COVID-19	MESH:D000086382		Choline	2,61	1
GTF2B	2959	COVID-19	MESH:D000086382		Ivermectin	2,61	2
H2AC6	8334	COVID-19	MESH:D000086382		Zinc	2,61	2
HMCN1	83872	COVID-19	MESH:D000086382		Choline	2,61	1
IGFALS	3483	COVID-19	MESH:D000086382		Zinc	2,61	2
IL10RB	3588	COVID-19	MESH:D000086382		Choline	2,61	1
IMMT	10989	COVID-19	MESH:D000086382		Ivermectin	2,61	2
KIF1B	23095	COVID-19	MESH:D000086382		Zinc	2,61	2
KPNA3	3839	COVID-19	MESH:D000086382		Ivermectin	2,61	2
LRATD2	157638	COVID-19	MESH:D000086382		Ivermectin	2,61	2
MAP1A	4130	COVID-19	MESH:D000086382		Ivermectin	2,61	2
MND1	84057	COVID-19	MESH:D000086382		Choline	2,61	1
MRPL19	9801	COVID-19	MESH:D000086382		Ivermectin	2,61	2
NAA50	80218	COVID-19	MESH:D000086382		Ivermectin	2,61	2
NOL6	65083	COVID-19	MESH:D000086382		Ivermectin	2,61	2
NPEPL1	79716	COVID-19	MESH:D000086382		Ivermectin	2,61	2
NUP62	23636	COVID-19	MESH:D000086382		Ivermectin	2,61	2
OCIAD2	132299	COVID-19	MESH:D000086382		Ivermectin	2,61	2
ONECUT1	3175	COVID-19	MESH:D000086382		Choline	2,61	1
PARG	8505	COVID-19	MESH:D000086382		Ivermectin	2,61	2
PITPNC1	26207	COVID-19	MESH:D000086382		Choline	2,61	1
PKIB	5570	COVID-19	MESH:D000086382		Choline	2,61	1
PREB	10113	COVID-19	MESH:D000086382		Ivermectin	2,61	2
PTPN13	5783	COVID-19	MESH:D000086382		Choline	2,61	1
RARRES1	5918	COVID-19	MESH:D000086382		Zinc	2,61	2
RIN2	54453	COVID-19	MESH:D000086382		Choline	2,61	1
RPL7A	6130	COVID-19	MESH:D000086382		Ivermectin	2,61	2
RRP9	9136	COVID-19	MESH:D000086382		Ivermectin	2,61	2
SAFB	6294	COVID-19	MESH:D000086382		Ivermectin	2,61	2
SCARA5	286133	COVID-19	MESH:D000086382		Choline	2,61	1
SLC20A2	6575	COVID-19	MESH:D000086382		Choline	2,61	1
SLC25A23	79085	COVID-19	MESH:D000086382		Choline	2,61	1
SLC25A37	51312	COVID-19	MESH:D000086382		Zinc	2,61	2
SLC2A6	11182	COVID-19	MESH:D000086382		Choline	2,61	1
SPRR1A	6698	COVID-19	MESH:D000086382		Choline	2,61	1
TCF25	22980	COVID-19	MESH:D000086382		Ivermectin	2,61	2
UBASH3B	84959	COVID-19	MESH:D000086382		Ivermectin	2,61	2
WDR3	10885	COVID-19	MESH:D000086382		Ivermectin	2,61	2
YTHDC1	91746	COVID-19	MESH:D000086382		Ivermectin	2,61	2
AAAS	8086	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ACP2	53	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ADPGK	83440	COVID-19	MESH:D000086382		Ivermectin	2,60	2
AHCTF1	25909	COVID-19	MESH:D000086382		Ivermectin	2,60	2
AIG1	51390	COVID-19	MESH:D000086382		Choline	2,60	1
ARFGAP3	26286	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ARHGEF28	64283	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ATP5F1D	513	COVID-19	MESH:D000086382		Ivermectin	2,60	2
BDKRB1	623	COVID-19	MESH:D000086382		Zinc	2,60	2
BLNK	29760	COVID-19	MESH:D000086382		Choline	2,60	1
BMPER	168667	COVID-19	MESH:D000086382		Choline	2,60	1
CCL17	6361	COVID-19	MESH:D000086382		Zinc	2,60	2
CLN3	1201	COVID-19	MESH:D000086382		Ivermectin	2,60	2
DDOST	1650	COVID-19	MESH:D000086382		Ivermectin	2,60	2
DNAJA3	9093	COVID-19	MESH:D000086382		Ivermectin	2,60	2
DPP9	91039	COVID-19	MESH:D000086382		Ivermectin	2,60	2
DUSP8	1850	COVID-19	MESH:D000086382		Zinc	2,60	2
ELOC	6921	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ERP44	23071	COVID-19	MESH:D000086382		Ivermectin	2,60	2
FARSA	2193	COVID-19	MESH:D000086382		Ivermectin	2,60	2
FAT3	120114	COVID-19	MESH:D000086382		Ivermectin	2,60	2
GALNT3	2591	COVID-19	MESH:D000086382		Choline	2,60	1
H2BC4	8347	COVID-19	MESH:D000086382		Ivermectin	2,60	2
HLTF	6596	COVID-19	MESH:D000086382		Ivermectin	2,60	2
HSPA13	6782	COVID-19	MESH:D000086382		Ivermectin	2,60	2
KCTD15	79047	COVID-19	MESH:D000086382		Choline	2,60	1
KIF21A	55605	COVID-19	MESH:D000086382		Ivermectin	2,60	2
KLHL13	90293	COVID-19	MESH:D000086382		Ivermectin	2,60	2
KPNA1	3836	COVID-19	MESH:D000086382		Ivermectin	2,60	2
LHPP	64077	COVID-19	MESH:D000086382		Ivermectin	2,60	2
LYZ	4069	COVID-19	MESH:D000086382		Zinc	2,60	2
MAFK	7975	COVID-19	MESH:D000086382		Zinc	2,60	2
MCFD2	90411	COVID-19	MESH:D000086382		Ivermectin	2,60	2
MOB1A	55233	COVID-19	MESH:D000086382		Ivermectin	2,60	2
MOGS	7841	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NAGK	55577	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ND4	4538	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ND5	4540	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NDUFA4	4697	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NDUFA9	4704	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NDUFS3	4722	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NEO1	4756	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NIFK	84365	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NLE1	54475	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NMT1	4836	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NPTN	27020	COVID-19	MESH:D000086382		Ivermectin	2,60	2
NUP88	4927	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PALS2	51678	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PEX19	5824	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PHYHD1	254295	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PIN1	5300	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PLP2	5355	COVID-19	MESH:D000086382		Choline	2,60	1
PNO1	56902	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PPP1R13L	10848	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PREPL	9581	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PSMC3IP	29893	COVID-19	MESH:D000086382		Choline	2,60	1
PSMD13	5719	COVID-19	MESH:D000086382		Ivermectin	2,60	2
PTGES3	10728	COVID-19	MESH:D000086382		Ivermectin	2,60	2
QPRT	23475	COVID-19	MESH:D000086382		Ivermectin	2,60	2
RAB5C	5878	COVID-19	MESH:D000086382		Ivermectin	2,60	2
RPL26	6154	COVID-19	MESH:D000086382		Ivermectin	2,60	2
RPS9	6203	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SACS	26278	COVID-19	MESH:D000086382		Choline	2,60	1
SF3B4	10262	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SH2B3	10019	COVID-19	MESH:D000086382		Choline	2,60	1
SIAE	54414	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SLC9A3R2	9351	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SMARCA5	8467	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SMS	6611	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SP100	6672	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SPCS3	60559	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SRGAP2	23380	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SRRM1	10250	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SRRT	51593	COVID-19	MESH:D000086382		Ivermectin	2,60	2
STUB1	10273	COVID-19	MESH:D000086382		Ivermectin	2,60	2
SYTL5	94122	COVID-19	MESH:D000086382		Ivermectin	2,60	2
TM9SF3	56889	COVID-19	MESH:D000086382		Ivermectin	2,60	2
TMED9	54732	COVID-19	MESH:D000086382		Ivermectin	2,60	2
TMX1	81542	COVID-19	MESH:D000086382		Ivermectin	2,60	2
TNFSF8	944	COVID-19	MESH:D000086382		Choline	2,60	1
UBAP2L	9898	COVID-19	MESH:D000086382		Ivermectin	2,60	2
UBTF	7343	COVID-19	MESH:D000086382		Ivermectin	2,60	2
UCHL5	51377	COVID-19	MESH:D000086382		Ivermectin	2,60	2
WDR33	55339	COVID-19	MESH:D000086382		Ivermectin	2,60	2
XPA	7507	COVID-19	MESH:D000086382		Zinc	2,60	2
YKT6	10652	COVID-19	MESH:D000086382		Ivermectin	2,60	2
ACSS1	84532	COVID-19	MESH:D000086382		Choline	2,59	1
ANGPTL3	27329	COVID-19	MESH:D000086382		Choline	2,59	1
ATG12	9140	COVID-19	MESH:D000086382		Zinc	2,59	2
CADPS2	93664	COVID-19	MESH:D000086382		Choline	2,59	1
CD53	963	COVID-19	MESH:D000086382		Choline	2,59	1
CEBPG	1054	COVID-19	MESH:D000086382		Zinc	2,59	2
CLEC7A	64581	COVID-19	MESH:D000086382		Choline	2,59	1
CRABP1	1381	COVID-19	MESH:D000086382		Choline	2,59	1
DOCK8	81704	COVID-19	MESH:D000086382		Choline	2,59	1
DPEP1	1800	COVID-19	MESH:D000086382		Choline	2,59	1
DSP	1832	COVID-19	MESH:D000086382		Zinc	2,59	2
DUSP14	11072	COVID-19	MESH:D000086382		Choline	2,59	1
EBF3	253738	COVID-19	MESH:D000086382		Ivermectin	2,59	2
EVL	51466	COVID-19	MESH:D000086382		Choline	2,59	1
FABP2	2169	COVID-19	MESH:D000086382		Zinc	2,59	2
FCGR3	14131	COVID-19	MESH:D000086382		Choline	2,59	1
FKBP10	60681	COVID-19	MESH:D000086382		Ivermectin	2,59	2
FNBP4	23360	COVID-19	MESH:D000086382		Ivermectin	2,59	2
FRMD4A	55691	COVID-19	MESH:D000086382		Choline	2,59	1
GNG7	2788	COVID-19	MESH:D000086382		Choline	2,59	1
GRHPR	9380	COVID-19	MESH:D000086382		Ivermectin	2,59	2
HDAC5	10014	COVID-19	MESH:D000086382		Zinc	2,59	2
HS3ST1	9957	COVID-19	MESH:D000086382		Choline	2,59	1
IDH3G	3421	COVID-19	MESH:D000086382		Ivermectin	2,59	2
IRF9	10379	COVID-19	MESH:D000086382		Zinc	2,59	2
LYST	1130	COVID-19	MESH:D000086382		Ivermectin	2,59	2
MAP3K4	4216	COVID-19	MESH:D000086382		Ivermectin	2,59	2
MPDZ	8777	COVID-19	MESH:D000086382		Choline	2,59	1
NACA	4666	COVID-19	MESH:D000086382		Ivermectin	2,59	2
NCK1	4690	COVID-19	MESH:D000086382		Ivermectin	2,59	2
NDUFS7	374291	COVID-19	MESH:D000086382		Ivermectin	2,59	2
NEGR1	257194	COVID-19	MESH:D000086382		Ivermectin	2,59	2
NUAK1	9891	COVID-19	MESH:D000086382		Choline	2,59	1
OLA1	29789	COVID-19	MESH:D000086382		Ivermectin	2,59	2
OPRD1	4985	COVID-19	MESH:D000086382		Zinc	2,59	2
PAQR9	344838	COVID-19	MESH:D000086382		Choline	2,59	1
PPIL1	51645	COVID-19	MESH:D000086382		Ivermectin	2,59	2
PPP1CC	5501	COVID-19	MESH:D000086382		Ivermectin	2,59	2
PSMD2	5708	COVID-19	MESH:D000086382		Ivermectin	2,59	2
PYGM	5837	COVID-19	MESH:D000086382		Zinc	2,59	2
RAB8B	51762	COVID-19	MESH:D000086382		Choline	2,59	1
RNMT	8731	COVID-19	MESH:D000086382		Ivermectin	2,59	2
RPS25	6230	COVID-19	MESH:D000086382		Ivermectin	2,59	2
SEPTIN6	23157	COVID-19	MESH:D000086382		Ivermectin	2,59	2
SMYD3	64754	COVID-19	MESH:D000086382		Ivermectin	2,59	2
SRPRB	58477	COVID-19	MESH:D000086382		Ivermectin	2,59	2
STARD13	90627	COVID-19	MESH:D000086382		Choline	2,59	1
SULT2B1	6820	COVID-19	MESH:D000086382		Choline	2,59	1
TCIRG1	10312	COVID-19	MESH:D000086382		Ivermectin	2,59	2
TIMM10	26519	COVID-19	MESH:D000086382		Ivermectin	2,59	2
TM4SF4	7104	COVID-19	MESH:D000086382		Choline	2,59	1
USO1	8615	COVID-19	MESH:D000086382		Ivermectin	2,59	2
WDR77	79084	COVID-19	MESH:D000086382		Ivermectin	2,59	2
AHCYL1	10768	COVID-19	MESH:D000086382		Ivermectin	2,58	2
AMPD2	271	COVID-19	MESH:D000086382		Ivermectin	2,58	2
AP1B1	162	COVID-19	MESH:D000086382		Ivermectin	2,58	2
ARF6	382	COVID-19	MESH:D000086382		Ivermectin	2,58	2
ARL1	400	COVID-19	MESH:D000086382		Ivermectin	2,58	2
ATP11A	23250	COVID-19	MESH:D000086382		Ivermectin	2,58	2
BANF1	8815	COVID-19	MESH:D000086382		Ivermectin	2,58	2
BCKDHA	593	COVID-19	MESH:D000086382		Ivermectin	2,58	2
BOP1	23246	COVID-19	MESH:D000086382		Ivermectin	2,58	2
C3AR1	719	COVID-19	MESH:D000086382		Choline	2,58	1
CHCHD3	54927	COVID-19	MESH:D000086382		Ivermectin	2,58	2
CNN1	1264	COVID-19	MESH:D000086382		Zinc	2,58	2
COL16A1	1307	COVID-19	MESH:D000086382		Choline	2,58	1
DDHD1	80821	COVID-19	MESH:D000086382		Ivermectin	2,58	2
EAF2	55840	COVID-19	MESH:D000086382		Choline	2,58	1
EIF3I	8668	COVID-19	MESH:D000086382		Ivermectin	2,58	2
EMP2	2013	COVID-19	MESH:D000086382		Choline	2,58	1
ENPP3	5169	COVID-19	MESH:D000086382		Choline	2,58	1
EXOSC5	56915	COVID-19	MESH:D000086382		Ivermectin	2,58	2
FGL1	2267	COVID-19	MESH:D000086382		Choline	2,58	1
FLRT2	23768	COVID-19	MESH:D000086382		Choline	2,58	1
GDI1	2664	COVID-19	MESH:D000086382		Ivermectin	2,58	2
GLI3	2737	COVID-19	MESH:D000086382		Choline	2,58	1
GOLIM4	27333	COVID-19	MESH:D000086382		Ivermectin	2,58	2
GSTT3	103140	COVID-19	MESH:D000086382		Zinc	2,58	2
GTF2F1	2962	COVID-19	MESH:D000086382		Ivermectin	2,58	2
GUCY2C	2984	COVID-19	MESH:D000086382		Ivermectin	2,58	2
HEBP1	50865	COVID-19	MESH:D000086382		Ivermectin	2,58	2
HECTD1	25831	COVID-19	MESH:D000086382		Ivermectin	2,58	2
HMGN2	3151	COVID-19	MESH:D000086382		Choline	2,58	1
HNRNPH3	3189	COVID-19	MESH:D000086382		Ivermectin	2,58	2
IFNGR2	3460	COVID-19	MESH:D000086382		Choline	2,58	1
ITM2B	9445	COVID-19	MESH:D000086382		Ivermectin	2,58	2
KYAT3	56267	COVID-19	MESH:D000086382		Ivermectin	2,58	2
LARP7	51574	COVID-19	MESH:D000086382		Ivermectin	2,58	2
LRPAP1	4043	COVID-19	MESH:D000086382		Ivermectin	2,58	2
MAN1A2	10905	COVID-19	MESH:D000086382		Ivermectin	2,58	2
MAN2B1	4125	COVID-19	MESH:D000086382		Ivermectin	2,58	2
MAP6	4135	COVID-19	MESH:D000086382		Choline	2,58	1
MEG3	55384	COVID-19	MESH:D000086382		Choline	2,58	1
MIPEP	4285	COVID-19	MESH:D000086382		Ivermectin	2,58	2
MYLIP	29116	COVID-19	MESH:D000086382		Zinc	2,58	2
NADK2	133686	COVID-19	MESH:D000086382		Ivermectin	2,58	2
NCKAP1	10787	COVID-19	MESH:D000086382		Ivermectin	2,58	2
NDUFA13	51079	COVID-19	MESH:D000086382		Ivermectin	2,58	2
NDUFS5	4725	COVID-19	MESH:D000086382		Ivermectin	2,58	2
NDUFS8	4728	COVID-19	MESH:D000086382		Ivermectin	2,58	2
NDUFV1	4723	COVID-19	MESH:D000086382		Ivermectin	2,58	2
NECTIN3	25945	COVID-19	MESH:D000086382		Choline	2,58	1
NEIL3	55247	COVID-19	MESH:D000086382		Choline	2,58	1
NFYB	4801	COVID-19	MESH:D000086382		Choline	2,58	1
NONO	4841	COVID-19	MESH:D000086382		Ivermectin	2,58	2
NRP2	8828	COVID-19	MESH:D000086382		Zinc	2,58	2
NTRK3	4916	COVID-19	MESH:D000086382		Choline	2,58	1
PAIP1	10605	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PAX3	5077	COVID-19	MESH:D000086382		Choline	2,58	1
PGM2	55276	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PGP	283871	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PGRMC2	10424	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PLOD1	5351	COVID-19	MESH:D000086382		Ivermectin	2,58	2
POP1	10940	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PPCS	79717	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PPP5C	5536	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PRMT3	10196	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PRPF19	27339	COVID-19	MESH:D000086382		Ivermectin	2,58	2
PSMD6	9861	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RAB11FIP1	80223	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RAB27A	5873	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RBM8A	9939	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RFX5	5993	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RPN1	6184	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RPS11	6205	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RPS17	6218	COVID-19	MESH:D000086382		Ivermectin	2,58	2
RSRP1	57035	COVID-19	MESH:D000086382		Zinc	2,58	2
SEC23A	10484	COVID-19	MESH:D000086382		Ivermectin	2,58	2
SEMA3B	7869	COVID-19	MESH:D000086382		Choline	2,58	1
SH3PXD2A	9644	COVID-19	MESH:D000086382		Choline	2,58	1
SLC2A8	29988	COVID-19	MESH:D000086382		Ivermectin	2,58	2
SMCHD1	23347	COVID-19	MESH:D000086382		Ivermectin	2,58	2
SNRPF	6636	COVID-19	MESH:D000086382		Ivermectin	2,58	2
SRPX	8406	COVID-19	MESH:D000086382		Choline	2,58	1
STK4	6789	COVID-19	MESH:D000086382		Ivermectin	2,58	2
STRA6	64220	COVID-19	MESH:D000086382		Choline	2,58	1
TBCD	6904	COVID-19	MESH:D000086382		Ivermectin	2,58	2
TFDP2	7029	COVID-19	MESH:D000086382		Choline	2,58	1
TMED3	23423	COVID-19	MESH:D000086382		Ivermectin	2,58	2
TRAF1	7185	COVID-19	MESH:D000086382		Zinc	2,58	2
TTC28	23331	COVID-19	MESH:D000086382		Ivermectin	2,58	2
TTC39C	125488	COVID-19	MESH:D000086382		Ivermectin	2,58	2
UFM1	51569	COVID-19	MESH:D000086382		Ivermectin	2,58	2
UQCRB	7381	COVID-19	MESH:D000086382		Ivermectin	2,58	2
UQCRQ	27089	COVID-19	MESH:D000086382		Ivermectin	2,58	2
VAPB	9217	COVID-19	MESH:D000086382		Ivermectin	2,58	2
ZMIZ1	57178	COVID-19	MESH:D000086382		Choline	2,58	1
ABLIM3	22885	COVID-19	MESH:D000086382		Choline	2,57	1
ACOT13	55856	COVID-19	MESH:D000086382		Ivermectin	2,57	2
ADH4	127	COVID-19	MESH:D000086382		Zinc	2,57	2
AKR1C14	105387	COVID-19	MESH:D000086382		Zinc	2,57	2
ARF4	378	COVID-19	MESH:D000086382		Ivermectin	2,57	2
ARL4A	10124	COVID-19	MESH:D000086382		Choline	2,57	1
CAMP	820	COVID-19	MESH:D000086382		Ivermectin	2,57	2
CAVIN3	112464	COVID-19	MESH:D000086382		Choline	2,57	1
CD48	962	COVID-19	MESH:D000086382		Choline	2,57	1
CD52	1043	COVID-19	MESH:D000086382		Choline	2,57	1
CDK5R1	8851	COVID-19	MESH:D000086382		Zinc	2,57	2
CHD3	1107	COVID-19	MESH:D000086382		Ivermectin	2,57	2
CHN2	1124	COVID-19	MESH:D000086382		Choline	2,57	1
CISD1	55847	COVID-19	MESH:D000086382		Ivermectin	2,57	2
COL6A2	1292	COVID-19	MESH:D000086382		Zinc	2,57	2
CPNE3	8895	COVID-19	MESH:D000086382		Ivermectin	2,57	2
CTTNBP2NL	55917	COVID-19	MESH:D000086382		Ivermectin	2,57	2
DACT2	168002	COVID-19	MESH:D000086382		Choline	2,57	1
ERCC6L	54821	COVID-19	MESH:D000086382		Choline	2,57	1
FBP2	8789	COVID-19	MESH:D000086382		Choline	2,57	1
FOXP2	93986	COVID-19	MESH:D000086382		Choline	2,57	1
FUT8	2530	COVID-19	MESH:D000086382		Choline	2,57	1
GAR1	54433	COVID-19	MESH:D000086382		Ivermectin	2,57	2
HDLBP	3069	COVID-19	MESH:D000086382		Ivermectin	2,57	2
IDH3B	3420	COVID-19	MESH:D000086382		Ivermectin	2,57	2
IPO7	10527	COVID-19	MESH:D000086382		Ivermectin	2,57	2
IRAK2	3656	COVID-19	MESH:D000086382		Zinc	2,57	2
KDELR2	11014	COVID-19	MESH:D000086382		Ivermectin	2,57	2
KHSRP	8570	COVID-19	MESH:D000086382		Ivermectin	2,57	2
LYAR	55646	COVID-19	MESH:D000086382		Ivermectin	2,57	2
MAP2K5	5607	COVID-19	MESH:D000086382		Choline	2,57	1
MEOX1	4222	COVID-19	MESH:D000086382		Choline	2,57	1
NDUFB3	4709	COVID-19	MESH:D000086382		Ivermectin	2,57	2
NEBL	10529	COVID-19	MESH:D000086382		Choline	2,57	1
NEXN	91624	COVID-19	MESH:D000086382		Choline	2,57	1
NOG	9241	COVID-19	MESH:D000086382		Choline	2,57	1
NOP2	4839	COVID-19	MESH:D000086382		Ivermectin	2,57	2
PCP4L1	654790	COVID-19	MESH:D000086382		Choline	2,57	1
PDCD11	22984	COVID-19	MESH:D000086382		Ivermectin	2,57	2
PHKB	5257	COVID-19	MESH:D000086382		Ivermectin	2,57	2
PTGER2	5732	COVID-19	MESH:D000086382		Zinc	2,57	2
QPCT	25797	COVID-19	MESH:D000086382		Choline	2,57	1
RAMP2	10266	COVID-19	MESH:D000086382		Choline	2,57	1
RPL14	9045	COVID-19	MESH:D000086382		Ivermectin	2,57	2
RPL24	6152	COVID-19	MESH:D000086382		Ivermectin	2,57	2
SCIN	85477	COVID-19	MESH:D000086382		Ivermectin	2,57	2
SCRN1	9805	COVID-19	MESH:D000086382		Ivermectin	2,57	2
SEC63	11231	COVID-19	MESH:D000086382		Ivermectin	2,57	2
SGO1	151648	COVID-19	MESH:D000086382		Choline	2,57	1
SLC39A14	23516	COVID-19	MESH:D000086382		Zinc	2,57	2
SMAD1	4086	COVID-19	MESH:D000086382		Zinc	2,57	2
SMPDL3A	10924	COVID-19	MESH:D000086382		Choline	2,57	1
SNRPA	6626	COVID-19	MESH:D000086382		Ivermectin	2,57	2
SPARCL1	8404	COVID-19	MESH:D000086382		Choline	2,57	1
SPATS2L	26010	COVID-19	MESH:D000086382		Ivermectin	2,57	2
SREK1	140890	COVID-19	MESH:D000086382		Ivermectin	2,57	2
SUB1	10923	COVID-19	MESH:D000086382		Ivermectin	2,57	2
TFB1M	51106	COVID-19	MESH:D000086382		Ivermectin	2,57	2
TIGAR	57103	COVID-19	MESH:D000086382		Ivermectin	2,57	2
UBE2K	3093	COVID-19	MESH:D000086382		Ivermectin	2,57	2
UBR4	23352	COVID-19	MESH:D000086382		Ivermectin	2,57	2
VEGFD	2277	COVID-19	MESH:D000086382		Zinc	2,57	2
VTN	7448	COVID-19	MESH:D000086382		Zinc	2,57	2
WASF2	10163	COVID-19	MESH:D000086382		Ivermectin	2,57	2
WASL	8976	COVID-19	MESH:D000086382		Ivermectin	2,57	2
WDFY3	23001	COVID-19	MESH:D000086382		Ivermectin	2,57	2
WDR12	55759	COVID-19	MESH:D000086382		Ivermectin	2,57	2
ABHD14B	84836	COVID-19	MESH:D000086382		Ivermectin	2,56	2
ACBD3	64746	COVID-19	MESH:D000086382		Ivermectin	2,56	2
ADI1	55256	COVID-19	MESH:D000086382		Ivermectin	2,56	2
ADRA1A	148	COVID-19	MESH:D000086382		Zinc	2,56	2
ANAPC1	64682	COVID-19	MESH:D000086382		Ivermectin	2,56	2
ATP6V0D2	245972	COVID-19	MESH:D000086382		Choline	2,56	1
BMP2K	55589	COVID-19	MESH:D000086382		Ivermectin	2,56	2
CDC27	996	COVID-19	MESH:D000086382		Ivermectin	2,56	2
CGREF1	10669	COVID-19	MESH:D000086382		Choline	2,56	1
CHAC2	494143	COVID-19	MESH:D000086382		Ivermectin	2,56	2
CITED4	163732	COVID-19	MESH:D000086382		Choline	2,56	1
CLPX	10845	COVID-19	MESH:D000086382		Ivermectin	2,56	2
COBLL1	22837	COVID-19	MESH:D000086382		Ivermectin	2,56	2
COX15	1355	COVID-19	MESH:D000086382		Ivermectin	2,56	2
CRMP1	1400	COVID-19	MESH:D000086382		Ivermectin	2,56	2
CTBP1	1487	COVID-19	MESH:D000086382		Ivermectin	2,56	2
DCAKD	79877	COVID-19	MESH:D000086382		Ivermectin	2,56	2
DOCK10	55619	COVID-19	MESH:D000086382		Ivermectin	2,56	2
DYNLT3	6990	COVID-19	MESH:D000086382		Ivermectin	2,56	2
EEF1E1	9521	COVID-19	MESH:D000086382		Ivermectin	2,56	2
EHMT1	79813	COVID-19	MESH:D000086382		Ivermectin	2,56	2
EPHB2	2048	COVID-19	MESH:D000086382		Choline	2,56	1
FLCN	201163	COVID-19	MESH:D000086382		Zinc	2,56	2
FMNL2	114793	COVID-19	MESH:D000086382		Ivermectin	2,56	2
FZD8	8325	COVID-19	MESH:D000086382		Choline	2,56	1
GGCT	79017	COVID-19	MESH:D000086382		Ivermectin	2,56	2
HAGH	3029	COVID-19	MESH:D000086382		Ivermectin	2,56	2
IL4RA	16190	COVID-19	MESH:D000086382		Choline	2,56	1
LACTB2	51110	COVID-19	MESH:D000086382		Ivermectin	2,56	2
LGR4	55366	COVID-19	MESH:D000086382		Choline	2,56	1
LGR5	8549	COVID-19	MESH:D000086382		Choline	2,56	1
